Current,Volt,Power,label
0.14001712,5.0002656,0.699976,0
0.1399024,5.000232,0.6995545,0
0.14001194,5.000263,0.7000553,0
0.13997754,5.000262,0.6999253,0
0.14002733,5.000263,0.7000223,0
0.13999757,5.000266,0.6998712,0
0.13999498,5.000262,0.69997907,0
0.13998143,5.0002594,0.69979197,0
0.13997607,5.000251,0.69983804,0
0.14003254,5.000272,0.7000862,0
0.13996501,5.0002656,0.6998397,0
0.13990532,5.0002503,0.69958663,0
0.1400185,5.0002694,0.70015126,0
0.14006977,5.000263,0.7002276,0
0.14002614,5.000263,0.7000383,0
0.14001127,5.000261,0.69988304,0
0.13996896,5.0002594,0.69977975,0
0.13999283,5.0002646,0.69993603,0
0.14005998,5.0002675,0.7002258,0
0.13998844,5.000262,0.6998964,0
0.13990833,5.0002446,0.69957155,0
0.13994765,5.0002604,0.69975847,0
0.13999364,5.000263,0.69998974,0
0.13997823,5.0002675,0.69984967,0
0.13997333,5.000247,0.6997269,0
0.13998619,5.0002604,0.69984114,0
0.1399596,5.00027,0.6998196,0
0.13992746,5.0002613,0.6996995,0
0.13997394,5.000263,0.6998041,0
0.13994148,5.000246,0.6995705,0
0.13996218,5.0002513,0.69970465,0
0.14001015,5.0002728,0.6999474,0
0.13994005,5.0002646,0.69985455,0
0.13995242,5.0002484,0.6996048,0
0.1400322,5.0002565,0.70018256,0
0.13996986,5.000266,0.6998471,0
0.13999525,5.000262,0.699884,0
0.1399183,5.0002565,0.6996239,0
0.13996756,5.000254,0.699748,0
0.14001766,5.0002613,0.7000568,0
0.13998005,5.000255,0.69982016,0
0.13993433,5.0002594,0.6997838,0
0.1399304,5.000249,0.6994319,0
0.13996463,5.000253,0.69985443,0
0.14002413,5.00027,0.70010793,0
0.14006296,5.0002747,0.700169,0
0.13997039,5.0002556,0.6998664,0
0.13993382,5.0002604,0.69969183,0
0.13997735,5.0002623,0.69991565,0
0.13995002,5.0002594,0.6997491,0
0.13995554,5.000257,0.69969195,0
0.1400129,5.0002675,0.7000196,0
0.13999146,5.0002556,0.6999056,0
0.13997225,5.000257,0.6997751,0
0.13999161,5.000261,0.6998953,0
0.13999055,5.000262,0.69987917,0
0.14001364,5.0002613,0.6999684,0
0.13996466,5.0002604,0.6998987,0
0.14008488,5.000262,0.7003963,0
0.13996702,5.000258,0.69980323,0
0.13997976,5.0002675,0.69989616,0
0.13998473,5.0002594,0.69990706,0
0.1399971,5.0002666,0.6998685,0
0.13995683,5.000251,0.699754,0
0.1399694,5.0002613,0.69984883,0
0.13991834,5.000255,0.6995665,0
0.13996834,5.0002623,0.699884,0
0.13998467,5.000258,0.6997549,0
0.13999729,5.0002713,0.70004374,0
0.13998154,5.0002565,0.6997941,0
0.1399902,5.000266,0.69998527,0
