Current,Volt,Power,label
0.13994832,5.0002723,0.6996362,0
0.13996425,5.000261,0.69981676,0
0.13994184,5.000262,0.69945925,0
0.13990974,5.000257,0.6994957,0
0.13998413,5.000272,0.69980526,0
0.1399495,5.0002747,0.69964665,0
0.14012584,5.0002823,0.70042294,0
0.13998236,5.000278,0.69994277,0
0.13997303,5.0002728,0.69980353,0
0.13998687,5.000276,0.6999383,0
0.13998334,5.000279,0.69991136,0
0.13999794,5.0002675,0.69986546,0
0.13998653,5.000278,0.69976085,0
0.14000717,5.0002775,0.69998705,0
0.13994114,5.000279,0.69967663,0
0.13992909,5.0002713,0.6997664,0
0.13996388,5.000276,0.6996177,0
0.13994968,5.00027,0.69958895,0
0.13996968,5.0002723,0.69970244,0
0.13994305,5.0002656,0.6997704,0
0.1399104,5.000262,0.6994368,0
0.13999136,5.000277,0.69978476,0
0.13992895,5.0002675,0.6996295,0
0.13987835,5.0002594,0.6993284,0
0.1399571,5.000275,0.6996164,0
0.13995071,5.0002637,0.6997139,0
0.1399397,5.000263,0.69941384,0
0.13993518,5.0002685,0.6996429,0
0.13989371,5.0002604,0.69928366,0
0.13995922,5.0002694,0.6997057,0
0.14001991,5.000277,0.7000138,0
0.14013587,5.0002666,0.7004248,0
0.14007822,5.0002794,0.7002367,0
0.13995692,5.000267,0.6998242,0
0.14000908,5.0002804,0.69985545,0
0.14002708,5.0002775,0.6999608,0
0.1399418,5.000262,0.6995841,0
0.13998307,5.000267,0.6997609,0
0.1399153,5.000267,0.6995533,0
0.13995783,5.0002747,0.69991845,0
0.13995999,5.0002794,0.69977975,0
0.14001568,5.0002728,0.69986165,0
0.13992757,5.000261,0.69959223,0
0.13993308,5.000284,0.6996019,0
0.13996696,5.000272,0.69972026,0
0.13999009,5.0002775,0.6998671,0
0.14000021,5.0002794,0.7000701,0
0.13992389,5.000267,0.6995773,0
0.13996835,5.0002737,0.699697,0
0.13993238,5.0002813,0.6997197,0
0.13998367,5.0002775,0.699957,0
0.13990271,5.0002623,0.69949794,0
0.1399477,5.000263,0.6996901,0
0.13994491,5.0002794,0.6996703,0
0.13998407,5.0002713,0.69980776,0
0.14001799,5.0002723,0.6998606,0
0.1400102,5.000277,0.69994724,0
0.14000177,5.0002737,0.699849,0
0.14002664,5.0002832,0.70000684,0
0.14007887,5.0002804,0.7002196,0
0.13995594,5.000271,0.6995614,0
0.14000729,5.00027,0.6998787,0
